vp,month,1,2,3,4,5,6,7,8,9,10,11,12
203,8,0,0,0,0.0,0.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0
203,9,1,1,1,1.0,2.0,2.0,2.0,3.0,3.0,3.0,,
203,10,0,0,0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0
203,11,2,2,2,2.0,3.0,3.0,1.0,1.0,1.0,1.0,,
203,12,0,0,0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0
206,1,1,1,3,1.0,1.0,0.0,3.0,3.0,2.0,3.0,3.0,
206,2,0,0,1,1.0,3.0,,,,,,,
206,3,1,1,3,2.0,3.0,2.0,0.0,0.0,3.0,2.0,0.0,
206,4,1,0,1,1.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,
206,5,1,1,1,1.0,0.0,2.0,2.0,2.0,3.0,2.0,,
206,6,1,0,0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,
206,7,1,1,1,2.0,0.0,0.0,,,,,,
206,8,1,0,0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,3.0,2.0
206,9,1,1,1,1.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,
206,10,1,1,1,1.0,0.0,2.0,2.0,3.0,3.0,3.0,,
206,11,1,1,1,1.0,0.0,2.0,2.0,2.0,2.0,2.0,,
206,12,1,1,1,1.0,0.0,3.0,3.0,3.0,3.0,3.0,,
211,1,2,2,3,3.0,3.0,1.0,1.0,0.0,0.0,,,
211,2,0,0,0,0.0,3.0,3.0,3.0,0.0,,,,
211,3,2,2,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,
211,4,1,1,0,0.0,1.0,2.0,3.0,3.0,3.0,2.0,,
211,5,2,2,0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,
211,6,1,1,1,3.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,
211,7,2,2,2,2.0,2.0,1.0,1.0,1.0,,,,
211,8,2,3,1,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0
211,9,1,0,1,0.0,3.0,3.0,2.0,2.0,0.0,0.0,2.0,3.0
211,10,3,3,3,1.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0
211,11,1,1,2,2.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0
211,12,3,0,3,2.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,
217,1,3,0,2,0.0,3.0,1.0,3.0,1.0,2.0,,,
217,2,0,3,1,3.0,0.0,3.0,3.0,0.0,,,,
217,3,1,2,1,0.0,3.0,1.0,3.0,1.0,2.0,3.0,,
217,4,1,2,0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,3.0
217,5,1,1,2,2.0,1.0,2.0,2.0,1.0,2.0,0.0,,
217,6,0,3,0,0.0,1.0,2.0,3.0,0.0,0.0,2.0,,
217,7,1,1,2,2.0,2.0,0.0,2.0,2.0,,,,
217,8,3,3,0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,,
217,9,1,3,1,1.0,1.0,0.0,3.0,3.0,2.0,3.0,2.0,
217,10,1,3,3,0.0,1.0,1.0,1.0,3.0,3.0,2.0,,
217,11,1,2,1,2.0,1.0,1.0,3.0,0.0,3.0,3.0,2.0,
217,12,1,0,0,3.0,1.0,3.0,0.0,0.0,3.0,3.0,2.0,
219,1,0,0,3,2.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0
219,2,1,3,2,3.0,3.0,3.0,3.0,0.0,,,,
219,3,1,1,1,1.0,0.0,3.0,3.0,2.0,,,,
219,4,0,0,2,2.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,2.0
219,5,1,1,3,3.0,1.0,0.0,3.0,2.0,2.0,1.0,3.0,
219,6,2,2,2,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,
219,7,2,2,0,0.0,2.0,2.0,2.0,0.0,,,,
219,8,0,0,0,3.0,3.0,3.0,2.0,3.0,3.0,0.0,1.0,1.0
219,9,1,1,1,3.0,3.0,1.0,0.0,3.0,2.0,2.0,3.0,
219,10,1,1,0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,
219,11,0,0,0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,
219,12,0,0,0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,2.0,
222,1,3,2,1,,,,,,,,,
222,2,2,3,1,0.0,,,,,,,,
222,3,3,2,0,1.0,3.0,1.0,0.0,2.0,1.0,3.0,,
222,4,0,2,3,1.0,1.0,0.0,2.0,3.0,0.0,3.0,2.0,0.0
222,5,2,1,1,1.0,1.0,0.0,2.0,2.0,2.0,2.0,,
222,6,2,3,1,0.0,0.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0
222,7,1,2,1,2.0,2.0,1.0,2.0,2.0,,,,
222,8,0,0,3,0.0,1.0,2.0,3.0,0.0,0.0,3.0,2.0,2.0
222,9,3,1,0,3.0,2.0,1.0,0.0,3.0,2.0,3.0,1.0,
222,10,3,3,0,1.0,3.0,0.0,1.0,3.0,2.0,0.0,0.0,2.0
222,11,2,1,1,3.0,2.0,1.0,3.0,2.0,0.0,1.0,2.0,
222,12,3,3,1,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0
226,1,1,1,2,0.0,0.0,2.0,1.0,,,,,
226,2,1,1,0,,,,,,,,,
226,3,0,0,3,0.0,1.0,1.0,2.0,,,,,
226,4,1,1,0,3.0,1.0,2.0,2.0,2.0,,,,
226,5,1,1,1,2.0,3.0,2.0,1.0,,,,,
226,6,1,0,2,3.0,1.0,1.0,1.0,,,,,
226,7,1,1,2,0.0,1.0,,,,,,,
